Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
From the Life of the Marionettes,Ingmar Bergman,Sweden,1980,1980s,1:44,"Ingmar Bergman's From The Life of the Marionettes was a semi-sequel to Scenes From A Marriage, made seven years before, with a different pair of actors (Robert Atzorn, Christine Buchegger) replacing the original's Jan Malmjso and Bibi Andersson. Bergman let his storytelling skills roam freely in this film, drawing from his cinematic and theatrical experience (as a playwright as well as a director), cutting forward and backward in a visual and narrative tour-de-force that rivaled his best experimental work of the 1960s.",1.73,https://www.criterionchannel.com/from-the-life-of-the-marionettes,From the Life of the Marionettes 1980,From the Life of the Marionettes 1980,tt0080397,7.4,3866,From the Life of the Marionettes,Aus dem Leben der Marionetten,1980,From the Life of the Marionettes 1980,False
The Front Page,Lewis Milestone,United States,1931,1930s,1:41,Based on the Broadway play of the same name (which was also the basis for Howard Hawks’ HIS GIRL FRIDAY) THE FRONT PAGE is a screwball comedy focusing on two newspapermen hoping to capitalize on a story about an escaped prisoner.,1.68,https://www.criterionchannel.com/the-front-page,The Front Page 1931,The Front Page 1931,tt0021890,6.7,2529,The Front Page,The Front Page,1931,The Front Page 1931,False
Frownland,Ronald Bronstein,United States,2007,2000s,1:46,"Longtime Safdie brothers collaborator Ronald Bronstein has described his lone directorial effort as “a rotten egg lobbed with bad aim at the silver screen.” Be forewarned: audience response has been intensely divided. FROWNLAND has garnered both passionate raves and scathing denunciations, while festival screenings have ended in screaming matches between patrons. It's strong stuff, yes, but none of its notorious reputation does justice to its savage dark humor, emotional heft, and stylistic audacity. Above all else, FROWNLAND is a pitch-black character study of Keith Sontag (Dore Mann), a neurotic, manipulative, stridently unlovable New Yorker whose pitiless roommate aptly describes him, to his face, as “a burbling troll in his underwear.” With the most basic elements of human communication a struggle, Keith lurches his way through an uncaring city, attempting to aid a suicidal friend, evict his unctuous roommate, and simply attain some measure of self-respect. An apoplectic seizure of blind rage, sorrow, and bleating humor . . . FROWNLAND.",1.77,https://www.criterionchannel.com/frownland-a-film-by-ronand-bronstein,Frownland 2007,Frownland 2007,tt0970935,6.4,480,Frownland,Frownland,2007,Frownland 2007,False
A Fuller Life,Samantha Fuller,United States,2013,2010s,1:20,"Calling on a wide range of her father's collaborators and fellow travelers, from James Franco to William Friedkin, to read from his autobiography, the filmmaker Samantha Fuller evokes the inimitable voice and spirit of her father, the legendary writer-director Sam Fuller. Shot entirely within ""The Shack,"" as Fuller called the backyard writing refuge he filled with notes for future projects, the film follows Fuller on his path from New York tabloid journalist to Hollywood hyphenate including his formative experiences as an infantryman in World War II.",1.33,https://www.criterionchannel.com/a-fuller-life,A Fuller Life 2013,A Fuller Life 2013,tt2972098,7.1,188,A Fuller Life,A Fuller Life,2013,A Fuller Life 2013,False
The Funeral,Juzo Itami,United States,1984,1980s,2:04,"When Wabisuke's father-in-law unexpectedly dies, the family goes through a series of random events and occurrences as the funeral unfolds over three days in their home.",2.07,https://www.criterionchannel.com/the-funeral,The Funeral 1984,The Funeral 1984,tt0089746,7.2,1158,The Funeral,Osôshiki,1984,The Funeral 1984,False
Funny Games,Michael Haneke,Austria,1997,1990s,1:49,"Michael Haneke’s most notorious provocation, FUNNY GAMES spares no detail in its depiction of the agony of a bourgeois family held captive at their vacation home by a pair of white-gloved young men. In a series of escalating “games,” the sadistic duo subject their victims to unspeakable physical and psychological torture over the course of a night. A home-invasion thriller in which the genre’s threat of bloodshed is made stomach-churningly real, the film ratchets up shocks even as its executioners interrupt the action to address the audience, drawing queasy attention to the way that cinema milks pleasure from pain and stokes our appetite for atrocity. With this controversial treatise on violence and entertainment, Haneke issued a summation of his cinematic philosophy, implicating his audience in a spectacle of unbearable cruelty.",1.82,https://www.criterionchannel.com/funny-games,Funny Games 1997,Funny Games 1997,tt0119167,7.6,65955,Funny Games,Funny Games,1997,Funny Games 1997,False
Fun with Dick and Jane,Ted Kotcheff,United States,1977,1970s,1:35,"Dick (George Segal) and Jane (Jane Fonda) are an upwardly mobile young couple building a picture-perfect life for themselves. They have an eleven-year-old son named Billy, a dog named Spot, a fine house in the suburbs, and a mailbox crammed with bills. When Dick’s boss (Ed McMahon) lays him off from his job, the two hit upon a most unconventional scheme—armed robbery—in order to maintain their comfortable lifestyle. This wicked satire from director Ted Kotcheff delivers uproarious comic set pieces alongside a barbed takedown of bourgeois values.",1.58,https://www.criterionchannel.com/fun-with-dick-and-jane,Fun with Dick and Jane 1977,Fun with Dick and Jane 1977,tt0076059,6.5,3972,Fun with Dick and Jane,Fun with Dick and Jane,1977,Fun with Dick and Jane 1977,False
"The Games of the V Olympiad Stockholm, 1912",Adrian Wood,Switzerland,2016,2010s,2:50,"Restored by the IOC and in 2016 edited into an absorbing chronicle, THE GAMES OF THE V OLYMPIAD STOCKHOLM, 1912 presents not just individual events but also the ceremonial ones before, during, and after the Games, which offer a vivid impression of Swedish society prior to World War I.",2.83,https://www.criterionchannel.com/the-games-of-the-v-olympiad-stockholm-1912,"The Games of the V Olympiad Stockholm, 1912 2016","The Games of the V Olympiad Stockholm, 1912 2017",tt7241484,6.5,93,"The Games of the V Olympiad Stockholm, 1912","The Games of the V Olympiad Stockholm, 1912",2017,"The Games of the V Olympiad Stockholm, 1912 2017",False
Games of the XXI Olympiad,Georges Dufaux…,Canada,1977,1970s,1:58,"Director Jean-Claude Labrecque elected to focus on individual athletes, both in competition and out, instead of sticking to the rigidly in place Olympics program. Labrecque and his co-directors (Jean Beaudin, Marcel Carrière and Georges Dufaux) have a good eye for small, offbeat details and give prominence to the coaches, mechanics, and the innumerable other personnel who made up the action at the Games of the XXI Olympiad Montreal 1976.",1.97,https://www.criterionchannel.com/games-of-the-xxi-olympiad,Games of the XXI Olympiad 1977,Games of the XXI Olympiad 1977,tt0202928,7.1,71,Games of the XXI Olympiad,Jeux de la XXIème olympiade,1977,Games of the XXI Olympiad 1977,False
The Garden of Women,Keisuke Kinoshita,Japan,1954,1950s,2:21,A student at a woman's university takes a controversial action against the school's old-fashioned doctrines. Directed by Keisuke Kinoshita.,2.35,https://www.criterionchannel.com/the-garden-of-women,The Garden of Women 1954,The Garden of Women 1954,tt0047300,6.9,165,The Garden of Women,Onna no sono,1954,The Garden of Women 1954,False
Gate of Flesh,Seijun Suzuki,Japan,1964,1960s,1:30,"In the shady black markets and bombed-out hovels of post-World War II Tokyo, a tough band of prostitutes eke out a dog-eat-dog existence, maintaining tenuous friendships and a semblance of order in a world of chaos. But when a renegade ex-soldier stumbles into their midst, lusts and loyalties clash, with tragic results. With GATE OF FLESH, visionary director Seijun Suzuki delivers a whirlwind of social critique and pulp drama, shot through with brilliant colors and raw emotions.",1.5,https://www.criterionchannel.com/gate-of-flesh,Gate of Flesh 1964,Gate of Flesh 1964,tt0058409,7.4,2811,Gate of Flesh,Nikutai no mon,1964,Gate of Flesh 1964,False
Gate of Hell,Teinosuke Kinugasa,Japan,1953,1950s,1:29,"A winner of Academy Awards for best foreign-language film and best costume design, GATE OF HELL is a visually sumptuous, psychologically penetrating work from Teinosuke Kinugasa. In the midst of epic, violent intrigue in twelfth-century Japan, an imperial warrior falls for a lady-in-waiting; after he discovers she is married, he becomes frenzied in his attempts to win her love. Kinugasa’s film, an early triumph of color cinematography in Japan, is an unforgettable, tragic story of obsession and unrequited passion.",1.48,https://www.criterionchannel.com/gate-of-hell,Gate of Hell 1953,Gate of Hell 1953,tt0045935,7.2,3288,Gate of Hell,Jigokumon,1953,Gate of Hell 1953,False
Gates of Heaven,Errol Morris,United States,1978,1970s,1:22,"Errol Morris burst out of the gate with this brilliant debut feature, about two pet cemeteries in Northern California and the people involved with them. Such a description, however, can hardly do justice to the captivating, funny, and enigmatic GATES OF HEAVEN, a film that is about our relationships to our pets, each other, and ourselves. Both sincere and satirical, this is an endlessly surprising study of human nature.",1.37,https://www.criterionchannel.com/gates-of-heaven,Gates of Heaven 1978,Gates of Heaven 1978,tt0077598,7.4,5537,Gates of Heaven,Gates of Heaven,1978,Gates of Heaven 1978,False
General Idi Amin Dada: A Self-Portrait,Barbet Schroeder,France,1974,1970s,1:30,"In 1974, Barbet Schroeder went to Uganda to make a film about Idi Amin, the country’s ruthless, charismatic dictator. Three years into a murderous regime that would be responsible for the deaths of hundreds of thousands of Ugandans, Amin prepared a triumphal greeting for the filmmakers, staging rallies, military maneuvers, and cheery displays of national pride, and envisioning the film as an official portrait to adorn his cult of personality. Schroeder, however, had other ideas, emerging with a disquieting, caustically funny brief against Amin, in which the dictator’s own endless stream of testimony—by turns charming, menacing, and nonsensical—serves as the most damning evidence. A revelatory tug-of-war between subject and filmmaker, GENERAL IDI AMIN DADA: A SELF-PORTRAIT is a landmark in the art of documentary and an appalling study of egotism in power.",1.5,https://www.criterionchannel.com/general-idi-amin-dada-a-self-portrait,General Idi Amin Dada: A Self-Portrait 1974,General Idi Amin Dada: A Self Portrait 1974,tt0071544,7.4,1743,General Idi Amin Dada: A Self Portrait,Général Idi Amin Dada: Autoportrait,1974,General Idi Amin Dada: A Self Portrait 1974,False
A Generation,Andrzej Wajda,Poland,1955,1950s,1:27,"Stach is a wayward teen living in squalor on the outskirts of Nazi-occupied Warsaw. Guided by an avuncular Communist organizer, he is introduced to the underground resistance, and to the beautiful Dorota. Soon he is engaged in dangerous efforts to fight oppression and indignity, maturing as he assumes responsibility for others’ lives. A coming-of-age story of survival and shattering loss, A GENERATION delivers a brutal portrait of the human cost of war.",1.45,https://www.criterionchannel.com/a-generation,A Generation 1955,A Generation 1955,tt0048500,7.1,2379,A Generation,Pokolenie,1955,A Generation 1955,False
Genocide,Kazui Nihonmatsu,Japan,1968,1960s,1:24,"The insects are taking over in this nasty piece of disaster horror directed by Kazui Nihonmatsu. A group of military personnel transporting a hydrogen bomb are left to figure out how and why swarms of killer bugs took down their plane; the answer is more deliriously nihilistic, and convoluted, than you could imagine. Also known as War of the Insects, Genocide enacts a cracked doomsday scenario like no other.",1.4,https://www.criterionchannel.com/genocide,Genocide 1968,Genocide 1968,tt0063195,5.0,539,Genocide,Konchû daisensô,1968,Genocide 1968,False
George Washington,David Gordon Green,United States,2000,2000s,1:30,"Over the course of one hot summer, a group of children in the decaying rural South must confront a tangle of difficult choices. An ambitiously constructed, elegantly photographed meditation on adolescence, the first full-length film by director David Gordon Green features remarkable performances from an award-winning ensemble cast. GEORGE WASHINGTON is a startling and distinct work of contemporary American independent cinema.",1.5,https://www.criterionchannel.com/george-washington,George Washington 2000,George Washington 2000,tt0262432,7.3,7851,George Washington,George Washington,2000,George Washington 2000,False
Germany Year Zero,Roberto Rossellini,Germany,1948,1940s,1:12,"The concluding chapter of Roberto Rossellini’s War Trilogy is the most devastating, a portrait of an obliterated Berlin, seen through the eyes of a twelve-year-old boy. Living in a bombed-out apartment building with his sick father and two older siblings, young Edmund is mostly left to wander unsupervised, getting ensnared in the black-market schemes of a group of teenagers and coming under the nefarious influence of a Nazi-sympathizing ex-teacher. GERMANY YEAR ZERO is a daring, gut-wrenching look at the consequences of fascism, for society and the individual.",1.2,https://www.criterionchannel.com/germany-year-zero,Germany Year Zero 1948,Germany Year Zero 1948,tt0039417,7.9,10889,Germany Year Zero,Germania anno zero,1948,Germany Year Zero 1948,False
Gertrud,Carl Th. Dreyer,Denmark,1964,1960s,1:56,"Carl Dreyer’s last film neatly crowns his career: a meditation on tragedy, individual will and the refusal to compromise. A woman leaves her unfulfilling marriage and embarks on a search for ideal love—but neither a passionate affair with a younger man nor the return of an old romance can provide the answer she seeks. Always the stylistic innovator, Dreyer employs long takes and theatrical staging to concentrate on Nina Pens Rode’s sublime portrayal of the proud and courageous Gertrud.",1.93,https://www.criterionchannel.com/gertrud,Gertrud 1964,Gertrud 1964,tt0058138,7.4,5609,Gertrud,Gertrud,1964,Gertrud 1964,False
The Getting of Wisdom,Bruce Beresford,Australia,1977,1970s,1:41,"Told with a delicate blend of satire and nostalgia, this award-winning coming-of-age tale introduces one of Australian literature’s most beloved characters, Laura Tweedle Rambothan (Susannah Fowle), to the screen. Chronicling her stormy passage through the sedate halls of an expensive Melbourne finishing school, this captivating adaptation of the classic best seller by Henry Handel Richardson delivers a rich and amusing portrait of an imaginative country girl who refuses to be broken to fit the mold of a Victorian-era young lady.",1.68,https://www.criterionchannel.com/the-getting-of-wisdom,The Getting of Wisdom 1977,The Getting of Wisdom 1977,tt0076079,6.4,441,The Getting of Wisdom,The Getting of Wisdom,1977,The Getting of Wisdom 1977,False
"Ghidorah, the Three-Headed Monster",Ishiro Honda,Japan,1964,1960s,1:33,"After laying waste to an alien civilization on Venus, the three-headed, lightning-emitting space monster Ghidorah brings its insatiable thirst for destruction to Earth, where fierce foes Godzilla, Rodan, and Mothra must join forces in order to deal with the unprecedented threat. An electrifying screen debut for Godzilla’s archenemy Ghidorah, this film also marks a turning point for the series, as the first time the King of the Monsters acts to protect the planet.",1.55,https://www.criterionchannel.com/ghidorah-the-three-headed-monster,"Ghidorah, the Three-Headed Monster 1964","Ghidorah, the Three-Headed Monster 1964",tt0058544,6.7,5744,"Ghidorah, the Three-Headed Monster",San daikaijû: Chikyû saidai no kessen,1964,"Ghidorah, the Three-Headed Monster 1964",False
Ghost Dog: The Way of the Samurai,Jim Jarmusch,United States,1999,1990s,1:56,"Jim Jarmusch combined his love for the ice-cool crime dramas of Jean-Pierre Melville and Seijun Suzuki with the philosophical dimensions of samurai mythology for an eccentrically postmodern take on the hit-man thriller. In one of his defining roles, Forest Whitaker brings a commanding serenity to his portrayal of a Zen contract killer working for a bumbling mob outfit, a modern man who adheres steadfastly to the ideals of the Japanese warrior code even as chaos and violence spiral around him. Featuring moody cinematography by the great Robby Müller, a sublime score by the Wu-Tang Clan’s RZA, and a host of colorful character actors (including a memorably stone-faced Henry Silva), GHOST DOG: THE WAY OF THE SAMURAI plays like a pop-culture-sampling cinematic mixtape built around a one-of-a-kind tragic hero.",1.93,https://www.criterionchannel.com/ghost-dog-the-way-of-the-samurai,Ghost Dog: The Way of the Samurai 1999,Ghost Dog: The Way of the Samurai 1999,tt0165798,7.5,85211,Ghost Dog: The Way of the Samurai,Ghost Dog: The Way of the Samurai,1999,Ghost Dog: The Way of the Samurai 1999,False
The Ghost Goes West,René Clair,United Kingdom,1935,1930s,1:22,"An old-world ghost gets a taste of new-world values in this sly supernatural satire. When an ancient Scottish castle is taken down and moved to Florida to be rebuilt brick by brick, the new American owners discovers that the kilt-sporting eighteenth-century spirit (Robert Donat) who haunts it has made the trip as well. Making his English-language debut, French fantasist René Clair brings his customary charm and invention to this sparkling tale of culture clash from beyond the grave.",1.37,https://www.criterionchannel.com/the-ghost-goes-west,The Ghost Goes West 1935,The Ghost Goes West 1935,tt0026406,6.8,1682,The Ghost Goes West,The Ghost Goes West,1935,The Ghost Goes West 1935,False
The Ghost of Peter Sellers,Peter Medak,Cyprus,2018,2010s,1:33,"In 1973, comic genius Peter Sellers and his former “The Goon Show” collaborator Spike Milligan traveled to the coast of Cyprus to star in GHOST IN THE NOONDAY SUN, a seventeenth-century-set pirate spoof helmed by up-and-coming director Peter Medak. From the moment shooting started, it was a disaster of epic proportions, with the erratic Sellers seemingly determined to sabotage the film with his outrageous antics. Featuring a wealth of footage from the troubled production, THE GHOST OF PETER SELLERS follows Medak as he returns to Cyprus forty-two years later to revisit the bizarre, hysterical, and heartbreaking experience of directing one of the greatest boondoggles in cinematic history, the making of which proved to be far wilder than anything captured on-screen.",1.55,https://www.criterionchannel.com/the-ghost-of-peter-sellers,The Ghost of Peter Sellers 2018,The Ghost of Peter Sellers 2018,tt4857058,6.9,328,The Ghost of Peter Sellers,The Ghost of Peter Sellers,2018,The Ghost of Peter Sellers 2018,False
Gimme Shelter,David Maysles…,United States,1970,1970s,1:31,"Called the greatest rock film ever made, this landmark documentary follows the Rolling Stones on their notorious 1969 U.S. tour. When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco’s Altamont Speedway, Direct Cinema pioneers David and Albert Maysles and Charlotte Zwerin were there to immortalize on film the bloody slash that transformed a decade’s dreams into disillusionment.",1.52,https://www.criterionchannel.com/gimme-shelter,Gimme Shelter 1970,Gimme Shelter 1970,tt0065780,7.9,10903,Gimme Shelter,Gimme Shelter,1970,Gimme Shelter 1970,False
Ginza Cosmetics,Mikio Naruse,Japan,1951,1950s,1:27,"Italy is usually cited as the anchor of the neo-realist movement in cinema, but Mikio Naruse's Ginza Cosmetics (1951) is a reminder that Japan had its own output equally rooted in realism. Set in Tokyo's Ginza district, this low-key, lyrical unassuming account of a few days in the life of a luckless geisha (Kinuyo Tanaka), as she struggles to make a living for herself and her young son, has few dramatic highs or artificial moments, but possesses a startlingly vivid power in its slice-of-life texture.",1.45,https://www.criterionchannel.com/ginza-cosmetics,Ginza Cosmetics 1951,Ginza Cosmetics 1951,tt0043587,6.9,287,Ginza Cosmetics,Ginza keshô,1951,Ginza Cosmetics 1951,False
The Girl from Chicago,Oscar Micheaux,United States,1932,1930s,1:10,"A remake of director Oscar Micheaux’s now-lost 1926 silent film THE SPIDER’S WEB, THE GIRL FROM CHICAGO is another film that explores the cultural rift between the urban and the rural, set in both Harlem and Batesburg, Mississippi. As had become his forte, Micheaux punctuates the dramatic scenes with musical numbers.",1.17,https://www.criterionchannel.com/the-girl-from-chicago,The Girl from Chicago 1932,The Girl from Chicago 1932,tt0022941,4.7,136,The Girl from Chicago,The Girl from Chicago,1932,The Girl from Chicago 1932,False
The Girl I Loved,Keisuke Kinoshita,Japan,1946,1940s,1:15,A young man who is unable to tell his childhood friend how he feels make a pledge with her to reveal all of their secrets during the upcoming festival. Directed by Keisuke Kinoshita.,1.25,https://www.criterionchannel.com/the-girl-i-loved,The Girl I Loved 1946,The Girl I Loved 1946,tt0039091,6.6,79,The Girl I Loved,Waga koi seshi otome,1946,The Girl I Loved 1946,False
Girl Shy,"Fred Newmeyer, Sam Taylor",United States,1924,1920s,1:20,"A tailor's apprentice writes a book for young men about wooing women, despite the fact that he himself is nervous around them.",1.33,https://www.criterionchannel.com/girl-shy,Girl Shy 1924,Girl Shy 1924,tt0014945,7.7,3133,Girl Shy,Girl Shy,1924,Girl Shy 1924,False
Girl with Green Eyes,Desmond Davis,United Kingdom,1964,1960s,1:32,"A young and innocent girl gets romantically involved with an older, married man.",1.53,https://www.criterionchannel.com/girl-with-green-eyes,Girl with Green Eyes 1964,Girl with Green Eyes 1964,tt0058142,7.0,1165,Girl with Green Eyes,Girl with Green Eyes,1964,Girl with Green Eyes 1964,False
Giuseppe Makes a Movie,Adam Rifkin,United States,2014,2010s,1:22,"DIY filmmaker, musician, and one-time teen actor Giuseppe Andrews has made over thirty experimental features. Set in some demented alternate universe, they are populated by real-life alcoholics and drug addicts, trash-talking senior citizens and residents of his trailer-park community dressed in cow outfits and costume-shop wigs, acting out booze-fueled vignettes of severe psychosis filtered through Giuseppe’s John Waters–meets–Harmony Korine–meets–Werner Herzog sensibility. Director Adam Rifkin creates a wildly surreal, outrageously funny, and strangely touching portrait of a true outsider artist as he follows Giuseppe and his ragtag troupe on the production of his latest two-day opus, GARBANZO GAS, capturing the compassion and camaraderie that binds this misfit community together.",1.37,https://www.criterionchannel.com/giuseppe-makes-a-movie,Giuseppe Makes a Movie 2014,Giuseppe Makes a Movie 2014,tt3661072,7.8,176,Giuseppe Makes a Movie,Giuseppe Makes a Movie,2014,Giuseppe Makes a Movie 2014,False
The Gleaners and I: Two Years Later,Agnès Varda,France,2002,2000s,1:02,"Agnès Varda’s charming follow-up to her acclaimed documentary THE GLEANERS AND I is a deceptively unassuming grace note that takes us deeper into the world of those who find purpose and beauty in the refuse of society. Revisiting many of the original film’s subjects to explore the often unexpected effects that their participation in the project has had on their lives, this wonderfully warm and human epilogue once again takes gleaning as the starting point from which to explore what most interests Varda: the richness, complexity, and poignancy of life outside the mainstream. What emerges is a crazy-quilt tapestry of the personal, the political, and the esoteric that celebrates the spirit and creativity of those who forge their own path.",1.03,https://www.criterionchannel.com/the-gleaners-and-i-two-years-later,The Gleaners and I: Two Years Later 2002,The Gleaners and I: Two Years Later 2002,tt0345128,7.2,926,The Gleaners and I: Two Years Later,Les glaneurs et la glaneuse... deux ans après,2002,The Gleaners and I: Two Years Later 2002,False
Gods of the Plague,Rainer Werner Fassbinder,Germany,1969,1960s,1:28,"Harry Baer plays a newly released ex-convict who slowly but surely finds his way back into the Munich criminal underworld. Meanwhile, his attentions are torn between two women (Hanna Schygulla and Margarethe von Trotta) and the friend (Günther Kaufmann) who shot his brother. This sensual, artfully composed film by Rainer Werner Fassbinder is a study of romantic and professional futility.",1.47,https://www.criterionchannel.com/gods-of-the-plague,Gods of the Plague 1969,Gods of the Plague 1970,tt0065808,6.5,1217,Gods of the Plague,Götter der Pest,1970,Gods of the Plague 1970,False
Godzilla,Ishiro Honda,Japan,1954,1950s,1:36,"GODZILLA (a.k.a. GOJIRA) is the roaring granddaddy of all monster movies. It’s also a remarkably humane and melancholy drama, made in Japan at a time when the country was reeling from nuclear attack and H-bomb testing in the Pacific. Its rampaging radioactive beast, the poignant embodiment of an entire population’s fears, became a beloved international icon of destruction, spawning almost thirty sequels.",1.6,https://www.criterionchannel.com/godzilla-1,Godzilla 1954,Godzilla 1954,tt0047034,7.6,29862,Godzilla,Gojira,1954,Godzilla 1954,False
Godzilla: King of the Monsters,Ishiro Honda…,Japan,1956,1950s,1:21,"This 1956 feature film, codirected and edited by Terry Morse, is the famous American reworking of the original GODZILLA. It combines footage from the original 1954 production with new material staring Western actors, including Raymond Burr as reporter Steve Martin.",1.35,https://www.criterionchannel.com/godzilla-king-of-the-monsters,Godzilla: King of the Monsters 1956,Godzilla: King of the Monsters 2019,tt3741700,6.0,142717,Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019,Godzilla: King of the Monsters 2019,False
Godzilla Raids Again,Motoyoshi Oda,Japan,1955,1950s,1:21,"Toho Studios followed the enormous success of the original Godzilla with this sequel, efficiently directed by Motoyoshi Oda as a straight-ahead monsters-on-the-loose drama. An underrated standout among the Showa Godzilla films, Godzilla Raids Again introduces the monster-versus-monster format that would dominate the remainder of the series, pitting Godzilla against the ferocious, spiny Anguirus as the kaiju wreak havoc in the streets of Osaka in a series of elaborate set pieces that succeed in upping the ante for destruction.",1.35,https://www.criterionchannel.com/godzilla-raids-again,Godzilla Raids Again 1955,Godzilla Raids Again 1955,tt0048127,5.9,5852,Godzilla Raids Again,Gojira no gyakushû,1955,Godzilla Raids Again 1955,False
Godzilla vs. Gigan,Jun Fukuda,Japan,1972,1970s,1:29,"An alien invasion prompts a tag-team battle between Godzilla and Anguirus, the planet protectors, and King Ghidorah and the new monster Gigan, a cyborg with scythe-like claws, an abdominal buzz saw, winglike back fins, and pincerlike mandibles. In this action-packed film, which veers from the sublime to the ridiculous, the cockroachlike aliens—disguised as humans—use Gigan and King Ghidorah as weapons of conquest in their plot to take over a contaminated Earth.",1.48,https://www.criterionchannel.com/godzilla-vs-gigan,Godzilla vs. Gigan 1972,Godzilla vs. Gigan 1972,tt0068371,5.7,4296,Godzilla vs. Gigan,Chikyû kogeki meirei: Gojira tai Gaigan,1972,Godzilla vs. Gigan 1972,False
Godzilla vs. Hedorah,Yoshimitsu Banno,Japan,1971,1970s,1:25,"Intended to address the crisis levels of pollution in postwar Japan, GODZILLA VS. HEDORAH finds the King of the Monsters fighting an alien life form that arrives on Earth and steadily grows by feeding on industrial waste. Director Yoshimitsu Banno infuses the film with equal parts ecological horror, humorous monster antics, and sixties psychedelia straight out of San Francisco, making for a truly unique—and divisive—entry in the series.",1.42,https://www.criterionchannel.com/godzilla-vs-hedorah,Godzilla vs. Hedorah 1971,Godzilla vs. Hedorah 1971,tt0067148,6.1,4911,Godzilla vs. Hedorah,Gojira tai Hedora,1971,Godzilla vs. Hedorah 1971,False
Godzilla vs. Mechagodzilla,Jun Fukuda,Japan,1974,1970s,1:24,"Godzilla’s evil twin Mechagodzilla first reared its head in this Jun Fukuda–directed film. A robot designed by aliens to conquer Earth, the enduringly popular villain has since been resurrected by Toho Studios several times. With the help of earnest direction, spectacular pyrotechnics, and guest appearances by veteran genre actors, this film recaptures the feel of the sixties Godzilla movies.",1.4,https://www.criterionchannel.com/godzilla-vs-mechagodzilla,Godzilla vs. Mechagodzilla 1974,Godzilla vs. Mechagodzilla 1974,tt0071565,6.4,5921,Godzilla vs. Mechagodzilla,Gojira tai Mekagojira,1974,Godzilla vs. Mechagodzilla 1974,False
Godzilla vs. Megalon,Jun Fukuda,Japan,1973,1970s,1:21,"Nuclear testing unleashes mayhem on the undersea kingdom of Seatopia, causing a series of environmental disasters that nearly wipes out Rokuro, the schoolboy protagonist at the center of this film. To exact revenge, Seatopia unleashes Megalon, a gigantic beetle with the ability to fire ray beams and napalm bombs. Meanwhile, Rokuro’s brother creates Jet Jaguar, a flying robot with a built-in moral compass. The inevitable matchup of Godzilla and Jet Jaguar versus Megalon and Gigan decides the world’s fate.",1.35,https://www.criterionchannel.com/godzilla-vs-megalon,Godzilla vs. Megalon 1973,Godzilla vs. Megalon 1973,tt0070122,4.9,5220,Godzilla vs. Megalon,Gojira tai Megaro,1973,Godzilla vs. Megalon 1973,False
"Goke, Body Snatcher from Hell",Hajime Sato,Japan,1968,1960s,1:24,"After an airplane is forced to crash-land in a remote area, its passengers find themselves face-to-face with an alien force that wants to possess them body and soul, and perhaps take over the entire human race. Filled with creatively repulsive effects, including a very invasive bloblike life-form, Hajime Sato's GOKE, BODY SNATCHER FROM HELL is a pulpy, apocalyptic gross-out.",1.4,https://www.criterionchannel.com/goke-body-snatcher-from-hell,"Goke, Body Snatcher from Hell 1968","Goke, Body Snatcher from Hell 1968",tt0063206,6.2,1499,"Goke, Body Snatcher from Hell",Kyuketsuki Gokemidoro,1968,"Goke, Body Snatcher from Hell 1968",False
Gold and Glory,Hannu Leminen,Finland,1953,1950s,1:37,"Part two of Director Hannu Leminen's account of the Olympic Games Helsinki 1952, with its fierce patriotism and its sense of a nation welcoming the world, is redolent of the period, coming as it did only twelve years after the end of Finland's war with the Soviet Union, and seven years after the end of World War II. Leminen spends GOLD AND GLORY covering non-track-and-field sports, while competitors from across the globe are seen socializing with ease, traversing the language barrier with smiles and gestures, and strengthening the impression of sports as a unifying stimulus for peace.",1.62,https://www.criterionchannel.com/gold-and-glory,Gold and Glory 1953,Gold and Glory 1953,tt0089282,6.1,45,Gold and Glory,Kultaa ja kunniaa,1953,Gold and Glory 1953,False
The Golden Coach,Jean Renoir,France,1953,1950s,1:42,"THE GOLDEN COACH (LE CARROSSE D’OR) is a ravishing eighteenth-century comic fantasy about a viceroy who receives an exquisite golden coach, and gives it to the tempestuous star of a touring commedia dell’arte company. Master director Jean Renoir’s sumptuous tribute to the theater, presented here in the English version he favored, is set to the music of Antonio Vivaldi and built around vivacious and volatile star Anna Magnani.",1.7,https://www.criterionchannel.com/the-golden-coach,The Golden Coach 1953,The Golden Coach 1952,tt0044487,7.0,2683,The Golden Coach,Le carrosse d'or,1952,The Golden Coach 1952,False
